y_delay_weeks	subset	context	horizon_weeks	pathogen	n_series	mean_rmse_naive_persistence	mean_rmse_ridge_ar	mean_rmse_ridge_fusion	mean_rmse_ridge_ww_only	frac_fusion_better_than_ar	mean_delta_rmse_fusion_minus_ar
4	geo_matched_state	early_warning	1	RSV	49	0.0886994398630065	0.2468979031528877	0.4442499749945545	1.488027571709798	0.1020408163265306	0.19735207184166678
4	geo_matched_state	early_warning	2	COVID-19	50	0.0939087123584786	0.2585032448163949	0.3253058847245506	0.5267155320741221	0.14	0.06680263990815566
4	geo_matched_state	early_warning	2	Influenza	49	0.0918705631815001	0.4130567983414215	0.4534580694837619	0.5688168624803548	0.2448979591836734	0.04040127114234038
4	geo_matched_state	early_warning	2	RSV	49	0.0918689782113203	0.2818211550471641	0.5132945317885922	1.4924819256361217	0.1224489795918367	0.2314733767414281
4	geo_matched_state	early_warning	3	COVID-19	50	0.0958650579106645	0.2814016858750405	0.3566122251013267	0.5334604695655706	0.14	0.07521053922628618
4	geo_matched_state	early_warning	3	Influenza	49	0.0941846174629807	0.4358430849517539	0.4720996840957482	0.5725471998794264	0.3061224489795918	0.03625659914399432
4	geo_matched_state	early_warning	3	RSV	49	0.0941827772364127	0.3151539912619271	0.5781926934764008	1.497628394706207	0.1020408163265306	0.2630387022144737
4	geo_matched_state	early_warning	4	COVID-19	50	0.0986605143081897	0.3021988838070448	0.3852525996050471	0.5394174006178183	0.1	0.0830537157980023
4	geo_matched_state	early_warning	4	Influenza	49	0.0970357312306893	0.4554100031577455	0.4909614674285983	0.5785132659925796	0.3265306122448979	0.03555146427085282
4	geo_matched_state	early_warning	4	RSV	49	0.0970316424801791	0.3459457444909958	0.6393365623819682	1.5047180656053636	0.0816326530612244	0.29339081789097243
4	geo_matched_state	with_current_y	1	COVID-19	50	0.0852641240068324	0.2052879124945721	0.2621998653379621	0.522923231355121	0.1	0.056911952843389985
4	geo_matched_state	with_current_y	1	Influenza	49	0.0832314930295499	0.3592706168776151	0.4018288681768214	0.5652745423304362	0.2448979591836734	0.04255825129920632
4	geo_matched_state	with_current_y	1	RSV	49	0.0832314930295499	0.212990397332823	0.3873761322805713	1.488027571709798	0.0816326530612244	0.17438573494774828
4	geo_matched_state	with_current_y	2	COVID-19	50	0.0910347577897734	0.233991755913505	0.2977945819698059	0.5267155320741221	0.1	0.06380282605630092
4	geo_matched_state	with_current_y	2	Influenza	49	0.088700259771904	0.395886044751883	0.4368668251789198	0.5688168624803548	0.2244897959183673	0.04098078042703679
4	geo_matched_state	with_current_y	2	RSV	49	0.0886994398630065	0.251838285706608	0.4665818857118364	1.4924819256361217	0.0816326530612244	0.2147436000052284
4	geo_matched_state	with_current_y	3	COVID-19	50	0.0939087123584786	0.2595772535789173	0.3328281939184695	0.5334604695655706	0.1	0.0732509403395522
4	geo_matched_state	with_current_y	3	Influenza	49	0.0918705631815001	0.4233933019646637	0.4610487846797717	0.5725471998794264	0.2857142857142857	0.03765548271510799
4	geo_matched_state	with_current_y	3	RSV	49	0.0918689782113203	0.2870401921897677	0.5374554092720221	1.497628394706207	0.1020408163265306	0.2504152170822544
4	geo_matched_state	with_current_y	4	COVID-19	50	0.0958650579106645	0.282111064780258	0.3646805494924156	0.5394174006178183	0.08	0.08256948471215758
4	geo_matched_state	with_current_y	4	Influenza	49	0.0941846174629807	0.4465157018066371	0.4840817208070056	0.5785132659925796	0.2857142857142857	0.037566019000368545
4	geo_matched_state	with_current_y	4	RSV	49	0.0941827772364127	0.3206263706203252	0.6026638104064942	1.5047180656053636	0.1020408163265306	0.282037439786169
