subset	context	geo_level	geo_id	pathogen	horizon_weeks	model_id	threshold_quantile	threshold_value	n_weeks	tp	fp	tn	fn	precision	recall	fdr	fpr	fnr	prevalence
geo_matched_state	early_warning	state	PA	COVID-19	1	ridge_fusion	0.75	1.5977092536324264	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	RI	COVID-19	1	ridge_ar	0.75	1.0891258947849929	52	10	3	26	13	0.7692307692307693	0.43478260869565216	0.23076923076923078	0.10344827586206896	0.5652173913043478	0.4423076923076923
geo_matched_state	early_warning	state	RI	COVID-19	1	ridge_fusion	0.75	1.0891258947849929	52	10	3	26	13	0.7692307692307693	0.43478260869565216	0.23076923076923078	0.10344827586206896	0.5652173913043478	0.4423076923076923
geo_matched_state	early_warning	state	SC	COVID-19	1	ridge_ar	0.75	1.3405774867948397	52	25	0	2	25	1.0	0.5	0.0	0.0	0.5	0.9615384615384616
geo_matched_state	early_warning	state	SC	COVID-19	1	ridge_fusion	0.75	1.3405774867948397	52	22	0	2	28	1.0	0.44	0.0	0.0	0.56	0.9615384615384616
geo_matched_state	early_warning	state	SD	COVID-19	1	ridge_ar	0.75	6.612094843888441	52	0	4	42	6	0.0	0.0	1.0	0.08695652173913043	1.0	0.11538461538461539
geo_matched_state	early_warning	state	SD	COVID-19	1	ridge_fusion	0.75	6.612094843888441	52	0	3	43	6	0.0	0.0	1.0	0.06521739130434782	1.0	0.11538461538461539
geo_matched_state	early_warning	state	TN	COVID-19	1	ridge_ar	0.75	1.7264843980293736	52	30	0	0	22	1.0	0.5769230769230769	0.0		0.4230769230769231	1.0
geo_matched_state	early_warning	state	TN	COVID-19	1	ridge_fusion	0.75	1.7264843980293736	52	20	0	0	32	1.0	0.38461538461538464	0.0		0.6153846153846154	1.0
geo_matched_state	early_warning	state	TX	COVID-19	1	ridge_ar	0.75	1.6231387236379082	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	TX	COVID-19	1	ridge_fusion	0.75	1.6231387236379082	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	UT	COVID-19	1	ridge_ar	0.75	1.6213040531716982	52	0	10	33	9	0.0	0.0	1.0	0.23255813953488372	1.0	0.17307692307692307
geo_matched_state	early_warning	state	UT	COVID-19	1	ridge_fusion	0.75	1.6213040531716982	52	0	19	24	9	0.0	0.0	1.0	0.4418604651162791	1.0	0.17307692307692307
geo_matched_state	early_warning	state	VA	COVID-19	1	ridge_ar	0.75	1.0683306586775445	52	27	1	11	13	0.9642857142857143	0.675	0.03571428571428571	0.08333333333333333	0.325	0.7692307692307693
geo_matched_state	early_warning	state	VA	COVID-19	1	ridge_fusion	0.75	1.0683306586775445	52	26	0	12	14	1.0	0.65	0.0	0.0	0.35	0.7692307692307693
geo_matched_state	early_warning	state	VT	COVID-19	1	ridge_ar	0.75	2.3180128139748355	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	VT	COVID-19	1	ridge_fusion	0.75	2.3180128139748355	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	WA	COVID-19	1	ridge_ar	0.75	1.228231515499514	52	4	10	11	27	0.2857142857142857	0.12903225806451613	0.7142857142857143	0.47619047619047616	0.8709677419354839	0.5961538461538461
geo_matched_state	early_warning	state	WA	COVID-19	1	ridge_fusion	0.75	1.228231515499514	52	7	9	12	24	0.4375	0.22580645161290322	0.5625	0.42857142857142855	0.7741935483870968	0.5961538461538461
geo_matched_state	early_warning	state	WI	COVID-19	1	ridge_ar	0.75	2.434541271560906	52	9	2	21	20	0.8181818181818182	0.3103448275862069	0.18181818181818182	0.08695652173913043	0.6896551724137931	0.5576923076923077
geo_matched_state	early_warning	state	WI	COVID-19	1	ridge_fusion	0.75	2.434541271560906	52	18	8	15	11	0.6923076923076923	0.6206896551724138	0.3076923076923077	0.34782608695652173	0.3793103448275862	0.5576923076923077
geo_matched_state	early_warning	state	WV	COVID-19	1	ridge_ar	0.75	3.2614080398206675	52	17	3	22	10	0.85	0.6296296296296297	0.15	0.12	0.37037037037037035	0.5192307692307693
geo_matched_state	early_warning	state	WV	COVID-19	1	ridge_fusion	0.75	3.2614080398206675	52	16	5	20	11	0.7619047619047619	0.5925925925925926	0.23809523809523808	0.2	0.4074074074074074	0.5192307692307693
geo_matched_state	early_warning	state	WY	COVID-19	1	ridge_ar	0.75	4.807717072718438	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	WY	COVID-19	1	ridge_fusion	0.75	4.807717072718438	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	AK	Influenza	1	ridge_ar	0.75	2.990324939581844	52	10	4	12	26	0.7142857142857143	0.2777777777777778	0.2857142857142857	0.25	0.7222222222222222	0.6923076923076923
geo_matched_state	early_warning	state	AK	Influenza	1	ridge_fusion	0.75	2.990324939581844	52	14	2	14	22	0.875	0.3888888888888889	0.125	0.125	0.6111111111111112	0.6923076923076923
geo_matched_state	early_warning	state	AL	Influenza	1	ridge_ar	0.75	1.887249428320694	52	0	18	30	4	0.0	0.0	1.0	0.375	1.0	0.07692307692307693
geo_matched_state	early_warning	state	AL	Influenza	1	ridge_fusion	0.75	1.887249428320694	52	0	15	33	4	0.0	0.0	1.0	0.3125	1.0	0.07692307692307693
geo_matched_state	early_warning	state	AR	Influenza	1	ridge_ar	0.75	2.820235253530951	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	AR	Influenza	1	ridge_fusion	0.75	2.820235253530951	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	AZ	Influenza	1	ridge_ar	0.75	1.2468087793769156	52	0	6	31	15	0.0	0.0	1.0	0.16216216216216217	1.0	0.28846153846153844
geo_matched_state	early_warning	state	AZ	Influenza	1	ridge_fusion	0.75	1.2468087793769156	52	0	4	33	15	0.0	0.0	1.0	0.10810810810810811	1.0	0.28846153846153844
geo_matched_state	early_warning	state	CA	Influenza	1	ridge_ar	0.75	0.9850492182259968	52	2	11	38	1	0.15384615384615385	0.6666666666666666	0.8461538461538461	0.22448979591836735	0.3333333333333333	0.057692307692307696
geo_matched_state	early_warning	state	CA	Influenza	1	ridge_fusion	0.75	0.9850492182259968	52	2	13	36	1	0.13333333333333333	0.6666666666666666	0.8666666666666667	0.2653061224489796	0.3333333333333333	0.057692307692307696
geo_matched_state	early_warning	state	CO	Influenza	1	ridge_ar	0.75	1.620555052046258	52	19	2	8	23	0.9047619047619048	0.4523809523809524	0.09523809523809523	0.2	0.5476190476190477	0.8076923076923077
geo_matched_state	early_warning	state	CO	Influenza	1	ridge_fusion	0.75	1.620555052046258	52	20	4	6	22	0.8333333333333334	0.47619047619047616	0.16666666666666666	0.4	0.5238095238095238	0.8076923076923077
geo_matched_state	early_warning	state	CT	Influenza	1	ridge_ar	0.75	0.8828784486059901	52	7	2	19	24	0.7777777777777778	0.22580645161290322	0.2222222222222222	0.09523809523809523	0.7741935483870968	0.5961538461538461
geo_matched_state	early_warning	state	CT	Influenza	1	ridge_fusion	0.75	0.8828784486059901	52	6	4	17	25	0.6	0.1935483870967742	0.4	0.19047619047619047	0.8064516129032258	0.5961538461538461
geo_matched_state	early_warning	state	DC	Influenza	1	ridge_ar	0.75	1.3210155967908128	52	10	2	20	20	0.8333333333333334	0.3333333333333333	0.16666666666666666	0.09090909090909091	0.6666666666666666	0.5769230769230769
geo_matched_state	early_warning	state	DC	Influenza	1	ridge_fusion	0.75	1.3210155967908128	52	2	0	22	28	1.0	0.06666666666666667	0.0	0.0	0.9333333333333333	0.5769230769230769
geo_matched_state	early_warning	state	DE	Influenza	1	ridge_ar	0.75	1.0771736139468522	52	15	1	20	16	0.9375	0.4838709677419355	0.0625	0.047619047619047616	0.5161290322580645	0.5961538461538461
geo_matched_state	early_warning	state	DE	Influenza	1	ridge_fusion	0.75	1.0771736139468522	52	11	1	20	20	0.9166666666666666	0.3548387096774194	0.08333333333333333	0.047619047619047616	0.6451612903225806	0.5961538461538461
geo_matched_state	early_warning	state	FL	Influenza	1	ridge_ar	0.75	1.1241931404857326	52	20	1	5	26	0.9523809523809523	0.43478260869565216	0.047619047619047616	0.16666666666666666	0.5652173913043478	0.8846153846153846
geo_matched_state	early_warning	state	FL	Influenza	1	ridge_fusion	0.75	1.1241931404857326	52	20	1	5	26	0.9523809523809523	0.43478260869565216	0.047619047619047616	0.16666666666666666	0.5652173913043478	0.8846153846153846
geo_matched_state	early_warning	state	GA	Influenza	1	ridge_ar	0.75	1.3345024549817937	52	0	10	41	1	0.0	0.0	1.0	0.19607843137254902	1.0	0.019230769230769232
geo_matched_state	early_warning	state	GA	Influenza	1	ridge_fusion	0.75	1.3345024549817937	52	0	11	40	1	0.0	0.0	1.0	0.21568627450980393	1.0	0.019230769230769232
geo_matched_state	early_warning	state	HI	Influenza	1	ridge_ar	0.75	1.7990153850411872	52	12	3	13	24	0.8	0.3333333333333333	0.2	0.1875	0.6666666666666666	0.6923076923076923
geo_matched_state	early_warning	state	HI	Influenza	1	ridge_fusion	0.75	1.7990153850411872	52	16	4	12	20	0.8	0.4444444444444444	0.2	0.25	0.5555555555555556	0.6923076923076923
geo_matched_state	early_warning	state	IA	Influenza	1	ridge_ar	0.75	3.768875134052036	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	IA	Influenza	1	ridge_fusion	0.75	3.768875134052036	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	ID	Influenza	1	ridge_ar	0.75	2.4298673085652305	52	0	1	50	1	0.0	0.0	1.0	0.0196078431372549	1.0	0.019230769230769232
geo_matched_state	early_warning	state	ID	Influenza	1	ridge_fusion	0.75	2.4298673085652305	52	0	0	51	1		0.0		0.0	1.0	0.019230769230769232
geo_matched_state	early_warning	state	IL	Influenza	1	ridge_ar	0.75	1.504553282375978	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	IL	Influenza	1	ridge_fusion	0.75	1.504553282375978	52	0	2	50	0	0.0		1.0	0.038461538461538464		0.0
geo_matched_state	early_warning	state	IN	Influenza	1	ridge_ar	0.75	1.9704942568850163	52	25	0	2	25	1.0	0.5	0.0	0.0	0.5	0.9615384615384616
geo_matched_state	early_warning	state	IN	Influenza	1	ridge_fusion	0.75	1.9704942568850163	52	23	0	2	27	1.0	0.46	0.0	0.0	0.54	0.9615384615384616
geo_matched_state	early_warning	state	KS	Influenza	1	ridge_ar	0.75	4.580623555194987	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	KS	Influenza	1	ridge_fusion	0.75	4.580623555194987	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	KY	Influenza	1	ridge_ar	0.75	2.3595182525275518	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	KY	Influenza	1	ridge_fusion	0.75	2.3595182525275518	52	0	0	52	0				0.0		0.0
geo_matched_state	early_warning	state	LA	Influenza	1	ridge_ar	0.75	3.2740953360186693	52	8	2	5	37	0.8	0.17777777777777778	0.2	0.2857142857142857	0.8222222222222222	0.8653846153846154
geo_matched_state	early_warning	state	LA	Influenza	1	ridge_fusion	0.75	3.2740953360186693	52	9	1	6	36	0.9	0.2	0.1	0.14285714285714285	0.8	0.8653846153846154
geo_matched_state	early_warning	state	MA	Influenza	1	ridge_ar	0.75	1.1641020457531854	52	10	9	20	13	0.5263157894736842	0.43478260869565216	0.47368421052631576	0.3103448275862069	0.5652173913043478	0.4423076923076923
