subset	context	horizon_weeks	pathogen	ed_source_id	n_series	mean_delta_rmse	ci_lo_mean_delta_rmse	ci_hi_mean_delta_rmse	fusion_win_rate_rmse	ci_lo_fusion_win_rate_rmse	ci_hi_fusion_win_rate_rmse	mean_delta_mae	ci_lo_mean_delta_mae	ci_hi_mean_delta_mae	fusion_win_rate_mae	ci_lo_fusion_win_rate_mae	ci_hi_fusion_win_rate_mae	mean_delta_mape	ci_lo_mean_delta_mape	ci_hi_mean_delta_mape	fusion_win_rate_mape	ci_lo_fusion_win_rate_mape	ci_hi_fusion_win_rate_mape	frac_mape_unstable	bootstrap_n	bootstrap_seed	ci_alpha
high_fidelity	early_warning	4	COVID-19	WA_RESP_ED_HOSP_CSV	2	-0.0003799693982485001	-0.0006377061980465002	-0.0001222325984505	1.0	1.0	1.0	-0.0003212223403944996	-0.00043517903417339973	-0.00020726564661559949	1.0	1.0	1.0	-0.165296789746395	-0.16540845949924654	-0.16518511999354346	1.0	1.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	4	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.008909626047254567	-0.0007515571343934997	0.0269649476130195	0.3333333333333333	0.0	1.0	0.005026466757989899	-0.0011477375300741992	0.015628501878680298	0.3333333333333333	0.0	1.0	0.5595175628633414	-0.19490229378922708	1.7304570262623884	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	early_warning	4	Influenza	WA_RESP_ED_HOSP_CSV	2	0.0008515666073795002	-0.00032443165380690014	0.0020275648685659006	0.5	0.0	1.0	0.00043728718588270047	-0.00011947821414070008	0.000994052585906101	0.5	0.0	1.0	-6.553599075806471	-13.804490028096552	0.6972918764836109	0.5	0.0	1.0	1.0	5000	7	0.05
high_fidelity	early_warning	4	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.0002748289866111667	-9.492285433180007e-05	0.0005781064583376002	0.3333333333333333	0.0	1.0	0.0002669026996697001	-1.7759419868399818e-05	0.0005144703361159002	0.3333333333333333	0.0	1.0	0.250487206502454	0.04059602537245355	0.4453098492799601	0.0	0.0	0.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	1	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	1.5740466857833335e-05	-6.742116243000002e-05	0.00013703588407090002	0.6666666666666666	0.0	1.0	-1.6003894835333292e-05	-0.00013281427740389996	0.00014811048254819998	0.6666666666666666	0.0	1.0	-0.0057193095443527535	-0.10790936831748228	0.14553427006203423	0.6666666666666666	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	1	COVID-19	WA_RESP_ED_HOSP_CSV	2	-1.907158609559985e-05	-4.422674415309989e-05	6.083571961900194e-06	0.5	0.0	1.0	-1.073991885749948e-06	-4.573635340309997e-05	4.358836963160007e-05	0.5	0.0	1.0	-0.011017852747339602	-0.0351869365964434	0.013151231101764194	0.5	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	1	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.002987348640638366	-1.8136897412000808e-05	0.008940807616065199	0.3333333333333333	0.0	1.0	0.002069733808760533	5.7552335066499496e-05	0.0057384329139679	0.0	0.0	0.0	0.21992527008491855	0.028687265304209397	0.5376530783929185	0.0	0.0	0.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	1	Influenza	WA_RESP_ED_HOSP_CSV	2	0.00021576620450795012	-0.00012691123283490018	0.0005584436418508004	0.5	0.0	1.0	2.7691429192049782e-05	-1.9840532556600083e-05	7.522339094069965e-05	0.5	0.0	1.0	-0.883346948315133	-1.9441265696540526	0.1774326730237865	0.5	0.0	1.0	0.5	5000	7	0.05
high_fidelity	with_current_ed	1	RSV	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.0002689559056378333	-2.389191457099994e-05	0.00043584615272599997	0.3333333333333333	0.0	1.0	0.00014656090011666667	-1.4688283937200038e-05	0.00027292736240950004	0.3333333333333333	0.0	1.0	-0.0034402136446017493	-0.15985137875534527	0.10369564845829038	0.3333333333333333	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	2	COVID-19	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	-3.218890047379996e-05	-0.0002140457701918998	0.00014677217795179987	0.6666666666666666	0.0	1.0	-0.00016690058341906666	-0.0003675017767108999	8.858459816389998e-05	0.6666666666666666	0.0	1.0	-0.052235588785762545	-0.2677049039654844	0.23738940840729572	0.6666666666666666	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	2	COVID-19	WA_RESP_ED_HOSP_CSV	2	-8.894316046269995e-05	-0.00021004545696659983	3.215913604119993e-05	0.5	0.0	1.0	-6.73587979289999e-05	-0.00018516884260049988	5.04512467425001e-05	0.5	0.0	1.0	-0.03796552382504967	-0.10522877188080043	0.029297724230701094	0.5	0.0	1.0	0.0	5000	7	0.05
high_fidelity	with_current_ed	2	Influenza	TX_DSHS_RESP_ED_VISITS_GRAPH3	3	0.006828317869074033	-0.00021121533947830035	0.020837328841157503	0.6666666666666666	0.0	1.0	0.004047431760935566	-0.00031619967283890056	0.011982974465401398	0.3333333333333333	0.0	1.0	0.43236602134407115	0.050620162296402205	1.1608968518760527	0.0	0.0	0.0	0.0	5000	7	0.05
