context	svi_tertile	y_delay_weeks	feature_missing_frac	feature_revision_frac	n_strata	total_series	mean_delta_rmse_fusion_minus_ar	weighted_delta_rmse_fusion_minus_ar	mean_frac_fusion_better_than_ar	weighted_frac_fusion_better_than_ar
early_warning	low	1	0.1	0.0	12	159	0.15209144474755604	0.1518608725623655	0.14454156954156955	0.13836477987421383
early_warning	low	1	0.1	0.3	12	164	0.09887907374866545	0.10231234241763201	0.28125	0.27439024390243905
early_warning	low	2	0.0	0.0	12	184	0.14857210267144053	0.1475599718607999	0.06527777777777777	0.06521739130434782
early_warning	low	2	0.0	0.3	12	184	0.13726938278764758	0.1365882507786085	0.06527777777777777	0.06521739130434782
early_warning	low	2	0.1	0.0	12	177	0.18523403205438238	0.18171714021246782	0.17633928571428573	0.1751412429378531
early_warning	low	2	0.1	0.3	12	176	0.11344717984565938	0.11341320081649534	0.21875	0.2159090909090909
early_warning	low	3	0.0	0.0	12	184	0.16686956286591734	0.1655755316182701	0.0704861111111111	0.07065217391304347
early_warning	low	3	0.0	0.3	12	184	0.15725219010885394	0.15624600612381864	0.09166666666666666	0.09239130434782608
early_warning	low	3	0.1	0.0	12	179	0.21238907022074738	0.21119041041484174	0.15322420634920633	0.15083798882681565
early_warning	low	3	0.1	0.3	12	176	0.13288031689102156	0.1316972030157479	0.1755952380952381	0.17613636363636365
early_warning	low	3	0.2	0.0	12	149	0.2183182387043605	0.21033539744973465	0.21135311447811445	0.2214765100671141
early_warning	low	3	0.2	0.3	12	131	0.09983862391586307	0.10081006313743249	0.25756003256003257	0.25190839694656486
early_warning	low	4	0.0	0.0	12	184	0.18332290978166577	0.18172197978410193	0.10312499999999998	0.10326086956521739
early_warning	low	4	0.0	0.3	12	184	0.17773630909186133	0.1763634598841407	0.1190972222222222	0.11956521739130435
early_warning	low	4	0.1	0.0	12	180	0.22954064418654987	0.2308640157831523	0.14618055555555556	0.14444444444444443
early_warning	low	4	0.1	0.3	12	176	0.16686469335245582	0.16490357734684183	0.1138392857142857	0.11363636363636363
early_warning	low	4	0.2	0.0	12	176	0.2532862405415866	0.24753997175950804	0.19791666666666666	0.19886363636363635
early_warning	low	4	0.2	0.3	12	176	0.15835741900825806	0.15641246682736404	0.1681547619047619	0.16477272727272727
early_warning	mid	0	0.0	0.0	12	204	0.05332312847808581	0.053323128478085804	0.15196078431372548	0.15196078431372548
early_warning	mid	0	0.0	0.3	12	204	0.046218377131072186	0.046218377131072186	0.2107843137254902	0.2107843137254902
early_warning	mid	0	0.1	0.0	12	184	0.04418732368429539	0.045311749267487815	0.1963818860877685	0.1956521739130435
early_warning	mid	0	0.1	0.3	12	178	0.09936789230350485	0.10098391029046072	0.11074862637362635	0.10674157303370786
early_warning	mid	1	0.0	0.0	12	204	0.06244236949086018	0.06244236949086018	0.16666666666666666	0.16666666666666666
early_warning	mid	1	0.0	0.3	12	204	0.05616959379060112	0.05616959379060112	0.17647058823529413	0.17647058823529413
early_warning	mid	1	0.1	0.0	12	192	0.06202076073487734	0.06274556209887108	0.20410539215686274	0.203125
early_warning	mid	1	0.1	0.3	12	192	0.12061824637447797	0.12061824637447797	0.11458333333333333	0.11458333333333333
early_warning	mid	2	0.0	0.0	12	204	0.06930382343138383	0.06930382343138382	0.17647058823529413	0.17647058823529413
early_warning	mid	2	0.0	0.3	12	204	0.06369728764544347	0.06369728764544348	0.18627450980392157	0.18627450980392157
early_warning	mid	2	0.1	0.0	12	196	0.07423930728276189	0.07427769944901423	0.19638480392156862	0.19387755102040816
early_warning	mid	2	0.1	0.3	12	195	0.1299658452018245	0.12997620862117223	0.12346813725490197	0.12307692307692308
early_warning	mid	3	0.0	0.0	12	204	0.07472949745822864	0.07472949745822863	0.18627450980392157	0.18627450980392157
early_warning	mid	3	0.0	0.3	12	204	0.069965966912008	0.069965966912008	0.19607843137254902	0.19607843137254902
early_warning	mid	3	0.1	0.0	12	196	0.08584560710865509	0.0855283740518002	0.1752450980392157	0.17346938775510204
early_warning	mid	3	0.1	0.3	12	196	0.10541500770980945	0.10495047466965732	0.15808823529411767	0.15816326530612246
early_warning	mid	3	0.2	0.0	12	166	0.06908499075243242	0.07105334734746442	0.18819734187381246	0.18072289156626506
early_warning	mid	3	0.2	0.3	12	132	0.07125056255192379	0.07122706107463697	0.17873931623931624	0.1893939393939394
early_warning	mid	4	0.0	0.0	12	204	0.07953108314908666	0.07953108314908668	0.19117647058823528	0.19117647058823528
early_warning	mid	4	0.0	0.3	12	204	0.07513752468855805	0.07513752468855805	0.17647058823529413	0.17647058823529413
early_warning	mid	4	0.1	0.0	12	196	0.09382096780992011	0.09317685381657222	0.13878676470588236	0.1377551020408163
early_warning	mid	4	0.1	0.3	12	196	0.0976494610969767	0.09696759527832922	0.16819852941176472	0.1683673469387755
early_warning	mid	4	0.2	0.0	12	196	0.08398539312711033	0.08386990440702971	0.12346813725490197	0.12244897959183673
early_warning	mid	4	0.2	0.3	12	188	0.09228615650668792	0.09339770745922724	0.1671481092436975	0.1702127659574468
with_current_y	high	0	0.0	0.0	12	204	0.06368234709926333	0.06368234709926332	0.1372549019607843	0.13725490196078433
with_current_y	high	0	0.0	0.3	12	204	0.056028101136435284	0.056028101136435284	0.1372549019607843	0.13725490196078433
with_current_y	high	0	0.1	0.0	12	137	0.05476392806796306	0.05597037486116585	0.12974537037037037	0.12408759124087591
with_current_y	high	0	0.1	0.3	12	133	0.054753156289777956	0.0573879675761781	0.24057539682539683	0.24812030075187969
with_current_y	high	1	0.0	0.0	12	204	0.08011250796257675	0.08011250796257675	0.14215686274509803	0.14215686274509803
with_current_y	high	1	0.0	0.3	12	204	0.07085008307100037	0.07085008307100037	0.14705882352941177	0.14705882352941177
with_current_y	high	1	0.1	0.0	12	156	0.08091731770354509	0.08047640226087893	0.1380997474747475	0.1282051282051282
with_current_y	high	1	0.1	0.3	12	160	0.056989212915923716	0.06097834014646748	0.25007284382284384	0.25
