context	geo_id	pathogen	horizon_weeks	test_weeks	rmse_ar	rmse_fusion	delta_rmse_fusion_minus_ar	fusion_better_than_ar	n_weeks	median_samples_per_week	mean_samples_per_week	p10_samples	p90_samples	median_population_coverage	mean_population_coverage	coverage_tertile_median_population_coverage	coverage_tertile_median_samples
with_current_y	NC	RSV	3	52	0.0469702636781503	0.0997721311593593	0.052801867481209006	0	170	53.5	43.48823529411764	5.0	74.0	0.16142099589167375	0.13670668767320351	mid	high
with_current_y	NE	COVID-19	3	52	0.2839384774407031	0.3276443526902072	0.04370587524950409	0	170	36.0	34.94117647058823	29.0	39.0	0.6707572167076783	0.6442047375025265	high	high
with_current_y	NE	Influenza	3	52	1.1733104093897948	1.215646240864175	0.04233583147438025	0	140	36.0	34.857142857142854	31.0	39.0	0.6756131655672113	0.6558234710127082	high	high
with_current_y	NE	RSV	3	52	0.2821654154672555	0.5141026495871863	0.23193723411993084	0	140	37.0	35.02857142857143	32.0	39.0	0.6774737240025936	0.6590543326670252	high	high
with_current_y	NH	COVID-19	3	52	0.1553843653474291	0.162170095027863	0.006785729680433894	0	170	22.0	21.811764705882354	18.0	25.099999999999994	0.18926522079508595	0.2030308328563748	mid	mid
with_current_y	NH	Influenza	3	52	0.1553843653474291	0.2042881734982611	0.04890380815083198	0	170	19.0	16.9	8.0	23.099999999999994	0.1799453424983582	0.15822178577639812	mid	mid
with_current_y	NH	RSV	3	52	0.1407388978761294	0.1709601262625522	0.0302212283864228	0	170	19.0	17.223529411764705	9.0	23.099999999999994	0.1799453424983582	0.159354087732358	mid	mid
with_current_y	NJ	COVID-19	3	52	0.0434740928675517	0.1077055479762729	0.06423145510872119	0	170	57.0	53.26470588235294	36.900000000000006	60.0	0.4356235235544733	0.4342873025210974	high	high
with_current_y	NJ	Influenza	3	52	0.0438284215095737	0.0630721965411142	0.019243775031540504	0	170	56.0	51.28823529411765	32.7	60.0	0.4298442958326738	0.39859206114286944	high	high
with_current_y	NJ	RSV	3	52	0.0444866755365196	0.1651560184939789	0.12066934295745929	0	170	57.0	46.71176470588235	13.800000000000004	60.0	0.4299864220255358	0.36525042032707244	high	high
with_current_y	NM	COVID-19	3	52	0.1249231600751847	0.2449873894349652	0.1200642293597805	0	170	13.0	13.364705882352942	9.0	19.099999999999994	0.3405864225188963	0.31975069652017624	mid	low
