subset	context	pathogen	horizon_weeks	comparison	n_counties	mean_delta_rmse	median_delta_rmse	frac_negative_delta_rmse	mean_delta_mae	median_delta_mae	mean_delta_mape	median_delta_mape
high_fidelity	early_warning	Influenza	3	ridge_fusion_minus_ridge_ar	5.0	0.00640684852382928	0.0007030670142204	0.4	0.0035593964366424083	0.0004729602681874	-2.160675010380376	0.0859485163940745
high_fidelity	early_warning	Influenza	3	ridge_fusion_minus_ridge_ww_only	5.0	0.004613696243776571	0.0006909097572598	0.0	0.0027328768310589543	1.610961011869021e-06	0.1346108977999248	-0.0821555529352564
high_fidelity	early_warning	Influenza	4	ridge_fusion_minus_ridge_ar	5.0	0.00568640227130454	0.0005154876631377	0.4	0.00319079492914702	0.0005986359253635	-2.2857290926045835	0.1429979561168626
high_fidelity	early_warning	Influenza	4	ridge_fusion_minus_ridge_ww_only	5.0	0.0042932470473196795	0.0006180651548796	0.2	0.0026814745583752147	0.0003312995180187	-0.6759774623807407	-0.4864139127913547
high_fidelity	early_warning	RSV	1	ridge_fusion_minus_ridge_ar	4.0	0.0004900298530463702	0.00057979742394685	0.25	0.0003651216235393539	0.0004953666058567	5.222238934566689	0.1705695251458938
high_fidelity	early_warning	RSV	1	ridge_fusion_minus_ridge_ww_only	4.0	-0.0009912987746295893	-0.0010915796003821499	1.0	-0.00073660533642105	-0.00076626974788625	-14.203989238814149	-1.0996327674237278
high_fidelity	early_warning	RSV	2	ridge_fusion_minus_ridge_ar	4.0	0.0006273029733149999	0.00079860823594235	0.25	0.0004716303792427851	0.00055298976122865	9.17239938082214	0.236598701096416
high_fidelity	early_warning	RSV	2	ridge_fusion_minus_ridge_ww_only	4.0	-0.00062178750075025	-0.0006217079783202	1.0	-0.0004435124019122783	-0.00042777785366935	-9.694910571380992	-0.8378197764142824
high_fidelity	early_warning	RSV	3	ridge_fusion_minus_ridge_ar	4.0	0.0006245159515062	0.00069436990461325	0.25	0.0005440655948664961	0.0005375666105933	12.676562604328472	0.4497710781091565
high_fidelity	early_warning	RSV	3	ridge_fusion_minus_ridge_ww_only	4.0	-0.00037141530003964997	-0.0003421074132952	1.0	-0.0002802564230338	-0.0002780754429193	-5.376209772382522	-1.0060949579353793
high_fidelity	early_warning	RSV	4	ridge_fusion_minus_ridge_ar	4.0	0.0005610735259113143	0.00045970490708265	0.25	0.0005448723357222088	0.00040923375943865	16.1380602974059	0.35543279706745423
high_fidelity	early_warning	RSV	4	ridge_fusion_minus_ridge_ww_only	4.0	-0.00022057152922160819	-0.0001432767453467	1.0	-0.00017913207404026627	-0.00010110141006855	-0.517970927556606	-0.26993486783195275
high_fidelity	with_current_ed	COVID-19	1	ridge_fusion_minus_ridge_ar	5.0	1.8156456764401496e-06	-2.239332106740888e-05	0.6	-1.0031933655506617e-05	-4.573635340310474e-05	-0.007838726825547477	-0.0351869365964433
high_fidelity	with_current_ed	COVID-19	1	ridge_fusion_minus_ridge_ww_only	5.0	-0.004920680093009461	-0.0047369903909844	1.0	-0.004043620488706519	-0.0040427128969405	-2.4858029371960604	-1.8351248773747195
high_fidelity	with_current_ed	COVID-19	2	ridge_fusion_minus_ridge_ar	5.0	-5.489060446935115e-05	-2.929310918128956e-05	0.6	-0.00012708386922298255	-0.0001851688426004	-0.04652756280147739	-0.1052287718808004
high_fidelity	with_current_ed	COVID-19	2	ridge_fusion_minus_ridge_ww_only	5.0	-0.00373899561016416	-0.0036263368345547	1.0	-0.0031967856885556797	-0.0031797731355299	-2.0251817916564443	-1.350984195478616
high_fidelity	with_current_ed	COVID-19	3	ridge_fusion_minus_ridge_ar	5.0	-0.0001476764333042167	-5.339536799233574e-05	0.8	-0.00031284250959423803	-0.0002303424445339	-0.12121481650567423	-0.0747724754086133
high_fidelity	with_current_ed	COVID-19	3	ridge_fusion_minus_ridge_ww_only	5.0	-0.00261231654503206	-0.002627639422181	1.0	-0.0024235329492619997	-0.0025954786291714	-1.5623353688718793	-1.1065772852906373
high_fidelity	with_current_ed	COVID-19	4	ridge_fusion_minus_ridge_ar	5.0	-0.0002624293053948377	-0.0002310692556612	1.0	-0.00047830695369875464	-0.0005752020766242	-0.2614344781511505	-0.1464554191248406
high_fidelity	with_current_ed	COVID-19	4	ridge_fusion_minus_ridge_ww_only	5.0	-0.0016148942933602	-0.0017774823456488	1.0	-0.00152899011516742	-0.0017334670158126	-1.0098568177879197	-0.7812380586291054
high_fidelity	with_current_ed	Influenza	1	ridge_fusion_minus_ridge_ar	5.0	0.001878715666186186	3.9375203261976174e-05	0.4	0.0012529168569331266	7.52233909407569e-05	-0.22138361727510217	0.0934354665576276
high_fidelity	with_current_ed	Influenza	1	ridge_fusion_minus_ridge_ww_only	5.0	-0.00528564407686614	-0.0035364486501812	1.0	-0.0038516241231105206	-0.0020749156946294	-1.5270804051746079	-1.1309163621864158
high_fidelity	with_current_ed	Influenza	2	ridge_fusion_minus_ridge_ar	5.0	0.00417057511647915	9.301709724015508e-05	0.4	0.00244889477622392	0.0002295087987827	0.07974008591610775	0.0855810498597585
high_fidelity	with_current_ed	Influenza	2	ridge_fusion_minus_ridge_ww_only	5.0	0.0005043293796716531	6.994146527126554e-05	0.4	-0.00026540005752958	-0.0007611257561812	-1.8614424166204089	-0.685357217769839
high_fidelity	with_current_ed	Influenza	3	ridge_fusion_minus_ridge_ar	5.0	0.007552576662062878	0.0003628011177603	0.4	0.004508067322527379	0.0002631882685214	-0.023714813452612303	0.1119683506998794
high_fidelity	with_current_ed	Influenza	3	ridge_fusion_minus_ridge_ww_only	5.0	0.005323935250076741	0.0004459445999444	0.4	0.0027209156944746	-0.0006644652268155	-1.2467911344673193	-0.2810899958622189
high_fidelity	with_current_ed	Influenza	4	ridge_fusion_minus_ridge_ar	5.0	0.008326874919066175	3.505072683441298e-05	0.4	0.004931364414167647	0.000217205418352	-0.25321384160431715	0.1077644796088361
high_fidelity	with_current_ed	Influenza	4	ridge_fusion_minus_ridge_ww_only	5.0	0.0063553700136359205	0.0001329425858858	0.4	0.00363158900439584	-0.0005250773272617	-1.9123975181934625	-0.6775688417843968
high_fidelity	with_current_ed	RSV	1	ridge_fusion_minus_ridge_ar	4.0	0.0002619956711412279	0.00031801422320495	0.25	0.00016387287209794835	0.00019862620495975	2.1927029370635456	0.07476536891076994
high_fidelity	with_current_ed	RSV	1	ridge_fusion_minus_ridge_ww_only	4.0	-0.0016032732070238999	-0.0018062319954089499	1.0	-0.0012447168380327498	-0.0013312454034621	-20.450110013138215	-1.6297241452288882
high_fidelity	with_current_ed	RSV	2	ridge_fusion_minus_ridge_ar	4.0	0.00043980215321480476	0.00056218572725855	0.25	0.00036060486821943444	0.00039620049916175	7.139853489826526	0.1677128179620537
high_fidelity	with_current_ed	RSV	2	ridge_fusion_minus_ridge_ww_only	4.0	-0.001114167510735775	-0.00120619300324555	1.0	-0.0008360331601872499	-0.0008827723776682999	-15.141776475794549	-1.516937797930236
high_fidelity	with_current_ed	RSV	3	ridge_fusion_minus_ridge_ar	4.0	0.0004897229238387462	0.00049036064387495	0.25	0.0004509519215796167	0.00041958817247845	11.044978645999635	0.23027995700305165
high_fidelity	with_current_ed	RSV	3	ridge_fusion_minus_ridge_ww_only	4.0	-0.0008083976370301	-0.0008846854464273	1.0	-0.0006058945364765	-0.00066118251692425	-10.285465731637576	-1.7594941378354445
high_fidelity	with_current_ed	RSV	4	ridge_fusion_minus_ridge_ar	4.0	0.0004801358162472404	0.00031461919073395	0.25	0.00048476365361176576	0.0003254074179612	14.693440476091684	0.30797145048616736
high_fidelity	with_current_ed	RSV	4	ridge_fusion_minus_ridge_ww_only	4.0	-0.00059895470797745	-0.0005787903362877999	1.0	-0.0004814001300037	-0.0004183472949241	-4.343075148340059	-1.3741574061174293
